Date,Product,Quantity,Price
2025-01-01,Apple,"10",1.2
2025-01-02,Banana,5,0.8
2025-01-03,APPLE,15,1.3
2025-01-04,Orange,8,1.5
2025-01-05,Banana,12,0.7
2025-01-06,DAAD,1,2.0
2025-01-07,ABVBA,4,1.1
2025-01-08,,9,1.0
2025-01-09,ADDA,,1.3
2025-01-10,,6,1.2
2025-01-11,VADAV,2,
2025-01-12,Avocado,7,1.4
2025-01-13,Banana,0,0.0
2025-01-14,apple pie,10,1.1
2025-01-15,banana split,20,1.6
2025-01-16,NAVAN,3,1.3
2025-01-17,ABABA,11,1.9
2025-01-18,Apple,99,10.5
2025-01-19,BaNANa,13,0.9
2025-01-20,DEED,14,2.1
2025-01-21,,,
2025-01-22,Orange,not_a_number,0.8
2025-01-23,Apple,23,one_point_two
, ,
